index,word
0,ability
1,able
2,absolutely
3,ac
4,academy
5,accepted
6,access
7,according
8,account
9,accused
10,achieved
11,achievement
12,acronym
13,across
14,act
15,action
16,active
17,activity
18,actor
19,actress
20,actually
21,ad
22,adam
23,add
24,added
25,adding
26,addition
27,additional
28,address
29,administration
30,adobe
31,adopted
32,adult
33,advance
34,advanced
35,advantage
36,advertising
37,advice
38,affair
39,affect
40,africa
41,african
42,age
43,aged
44,agency
45,ago
46,agree
47,agreed
48,agreement
49,agricultural
50,ahead
51,aid
52,aim
53,aimed
54,air
55,aircraft
56,al
57,alan
58,algeria
59,algerian
60,algorithm
61,allegation
62,allergy
63,alliance
64,allied
65,allow
66,allowed
67,allowing
68,allows
69,ally
70,almond
71,almost
72,alone
73,along
74,alongside
75,already
76,also
77,alternative
78,although
79,always
80,amateur
81,america
82,american
83,ames
84,among
85,amount
86,amun
87,analysis
88,analyst
89,ancient
90,animal
91,announced
92,announcement
93,annual
94,anonymous
95,another
96,answer
97,anyone
98,anything
99,apparently
100,appeal
101,appear
102,appearance
103,appeared
104,apple
105,application
106,apply
107,approach
108,approximately
109,april
110,architecture
111,archive
112,area
113,argued
114,argument
115,arm
116,armistice
117,army
118,around
119,arrived
120,art
121,article
122,artillery
123,artist
124,asia
125,ask
126,asked
127,asking
128,aspect
129,assembly
130,asset
131,associated
132,association
133,asteroid
134,astronomical
135,astronomy
136,athens
137,athlete
138,athletics
139,atmosphere
140,attack
141,attacked
142,attempt
143,attention
144,attitude
145,audience
146,august
147,australia
148,australian
149,austrian
150,author
151,authority
152,available
153,avenue
154,average
155,aviation
156,avoid
157,award
158,away
159,baalke
160,back
161,background
162,bad
163,bake
164,baking
165,balance
166,balco
167,ban
168,band
169,bank
170,banned
171,base
172,based
173,basic
174,basis
175,battle
176,bay
177,bbc
178,bc
179,beat
180,beaten
181,became
182,become
183,becoming
184,began
185,begin
186,beginning
187,begun
188,behind
189,belgium
190,belief
191,believe
192,believed
193,bell
194,ben
195,benefit
196,berlin
197,best
198,bet
199,better
200,beyond
201,bid
202,big
203,biggest
204,bill
205,billion
206,birmingham
207,birth
208,bit
209,bitnet
210,black
211,blair
212,blog
213,blogger
214,blood
215,board
216,bob
217,body
218,boerse
219,bombardment
220,bond
221,book
222,boost
223,border
224,borrowing
225,bowl
226,box
227,boy
228,brand
229,bread
230,break
231,breakthrough
232,bring
233,britain
234,british
235,broadband
236,broadcast
237,broke
238,bronze
239,brother
240,brought
241,brown
242,browser
243,bruce
244,budget
245,build
246,building
247,built
248,business
249,butter
250,buy
251,ca
252,cabinet
253,cable
254,calcium
255,california
256,call
257,called
258,came
259,camera
260,camp
261,campaign
262,campbell
263,canada
264,cancer
265,candida
266,candidate
267,capability
268,capable
269,capital
270,car
271,card
272,care
273,career
274,carefully
275,carry
276,case
277,cash
278,casualty
279,category
280,cause
281,caused
282,cdc
283,celebrity
284,cell
285,center
286,central
287,centre
288,century
289,ceremony
290,certain
291,certainly
292,chain
293,chairman
294,challenge
295,chamber
296,champion
297,championship
298,chance
299,chancellor
300,change
301,changed
302,channel
303,charge
304,charged
305,charles
306,chart
307,check
308,cheese
309,chemical
310,chepkemei
311,chicago
312,chicken
313,chief
314,child
315,china
316,chinese
317,chip
318,chocolate
319,choice
320,choose
321,chopped
322,chosen
323,christian
324,christmas
325,cinema
326,citizen
327,city
328,civil
329,civilian
330,civilization
331,claim
332,claimed
333,claiming
334,clarke
335,class
336,classic
337,clear
338,clinical
339,close
340,closed
341,closer
342,coach
343,coast
344,code
345,cold
346,collection
347,college
348,collins
349,colonial
350,color
351,colour
352,combine
353,combined
354,come
355,comedy
356,comet
357,coming
358,command
359,commander
360,comment
361,commercial
362,commission
363,committed
364,committee
365,common
366,commonly
367,communication
368,community
369,company
370,compared
371,compete
372,competition
373,complete
374,completely
375,complex
376,component
377,comprehensive
378,computer
379,concern
380,concerned
381,concluded
382,condition
383,conference
384,confidence
385,confident
386,confirmed
387,conflict
388,connection
389,conservative
390,consider
391,considered
392,console
393,constant
394,construction
395,consumer
396,consumption
397,contact
398,contain
399,contained
400,contains
401,conte
402,content
403,continue
404,continued
405,continues
406,continuing
407,contract
408,contrast
409,contribution
410,control
411,controlled
412,controversial
413,convention
414,convert
415,cook
416,cookie
417,cool
418,copy
419,copyright
420,core
421,cornstarch
422,corp
423,correct
424,cost
425,could
426,council
427,country
428,couple
429,course
430,court
431,cover
432,covered
433,crash
434,cream
435,create
436,created
437,creating
438,creation
439,creative
440,credit
441,crime
442,criminal
443,crisis
444,critic
445,critical
446,crop
447,cross
448,cruiser
449,culture
450,cup
451,currency
452,current
453,currently
454,customer
455,cut
456,cutting
457,daily
458,damage
459,data
460,database
461,date
462,david
463,day
464,dc
465,de
466,dead
467,deal
468,death
469,debate
470,debt
471,debut
472,dec
473,decade
474,december
475,decide
476,decided
477,decision
478,declared
479,decline
480,deep
481,defeat
482,defence
483,defense
484,degree
485,deliver
486,delivered
487,delivery
488,delta
489,demand
490,democrat
491,dems
492,denied
493,department
494,described
495,design
496,designed
497,designer
498,despite
499,destroyer
500,detail
501,detailed
502,determined
503,deutsche
504,develop
505,developed
506,developer
507,developing
508,development
509,device
510,diabetes
511,diagnosed
512,diagnosis
513,died
514,diet
515,difference
516,different
517,difficult
518,digital
519,direct
520,directed
521,direction
522,directly
523,director
524,discipline
525,discovered
526,discussion
527,disease
528,disk
529,display
530,distance
531,distributed
532,distribution
533,divide
534,division
535,dj
536,dna
537,doctor
538,document
539,documentary
540,dollar
541,domain
542,domestic
543,donation
544,done
545,door
546,doping
547,double
548,doubt
549,dough
550,download
551,dr
552,drama
553,draw
554,drive
555,driver
556,drop
557,dropped
558,drug
559,dry
560,due
561,dutch
562,dvd
563,dynamic
564,dynasty
565,earlier
566,early
567,earth
568,easier
569,easily
570,east
571,eastern
572,easy
573,eat
574,eating
575,economic
576,economist
577,economy
578,edge
579,editing
580,edition
581,editor
582,education
583,edward
584,effect
585,effective
586,efficient
587,effort
588,egg
589,egypt
590,egyptian
591,eight
592,either
593,election
594,electronic
595,element
596,else
597,email
598,empire
599,employee
600,employer
601,end
602,ended
603,energy
604,engine
605,engineering
606,england
607,english
608,enough
609,ensure
610,entire
611,entry
612,environment
613,equal
614,equipment
615,especially
616,essential
617,established
618,estimate
619,estimated
620,et
621,etc
622,eu
623,euro
624,europe
625,european
626,even
627,evening
628,event
629,eventually
630,ever
631,every
632,everyone
633,everything
634,evidence
635,exactly
636,example
637,except
638,exchange
639,executive
640,existing
641,expansion
642,expect
643,expectation
644,expected
645,expensive
646,experience
647,experiment
648,expert
649,exploration
650,explorer
651,export
652,exposure
653,extra
654,extract
655,extremely
656,eye
657,face
658,faced
659,facility
660,facing
661,fact
662,factor
663,factory
664,failed
665,failing
666,failure
667,fair
668,falkenhayn
669,fall
670,falling
671,family
672,fan
673,faq
674,far
675,fast
676,faster
677,father
678,favour
679,favourite
680,fax
681,fear
682,feature
683,february
684,federal
685,federation
686,fee
687,feel
688,fell
689,felt
690,festival
691,field
692,fifth
693,fight
694,fighting
695,figure
696,file
697,film
698,final
699,finally
700,finance
701,financial
702,find
703,finding
704,fine
705,finish
706,finished
707,fire
708,firm
709,first
710,fish
711,fit
712,five
713,fix
714,flank
715,flaw
716,fleet
717,flight
718,fln
719,flour
720,fly
721,flyby
722,focus
723,follow
724,followed
725,following
726,food
727,foot
728,force
729,forced
730,forecast
731,foreign
732,form
733,format
734,formed
735,former
736,forum
737,forward
738,fought
739,found
740,foundation
741,four
742,fourth
743,fox
744,france
745,francisco
746,free
747,freedom
748,french
749,frequency
750,fresh
751,friday
752,friend
753,front
754,frontier
755,fry
756,ftp
757,fuel
758,full
759,function
760,fund
761,future
762,gadget
763,gain
764,gained
765,game
766,garlic
767,gas
768,gave
769,general
770,generally
771,generation
772,genetic
773,george
774,german
775,germany
776,get
777,getting
778,giant
779,give
780,given
781,giving
782,global
783,gm
784,gmt
785,go
786,goal
787,god
788,going
789,gold
790,golden
791,gone
792,good
793,google
794,gordon
795,got
796,government
797,grand
798,grant
799,granted
800,graphic
801,gravity
802,great
803,greater
804,greek
805,green
806,ground
807,group
808,growing
809,growth
810,guide
811,guilty
812,gun
813,half
814,hand
815,handle
816,handset
817,happen
818,happened
819,happy
820,hard
821,harrier
822,head
823,health
824,healthy
825,heard
826,hearing
827,heart
828,heat
829,heavy
830,held
831,help
832,helped
833,helping
834,henry
835,hicnet
836,high
837,higher
838,highest
839,highly
840,hill
841,historian
842,historical
843,history
844,hit
845,hitler
846,hiv
847,hold
848,hole
849,hollywood
850,holmes
851,home
852,honour
853,hope
854,hoped
855,hoping
856,horse
857,hospital
858,host
859,hot
860,hour
861,house
862,housing
863,howard
864,however
865,huge
866,human
867,hundred
868,hunt
869,hunting
870,iaaf
871,ibm
872,idea
873,identified
874,ii
875,illegal
876,illness
877,image
878,imaging
879,immediately
880,immigration
881,immune
882,impact
883,imperial
884,importance
885,important
886,improve
887,improved
888,improvement
889,inch
890,include
891,included
892,includes
893,including
894,income
895,increase
896,increased
897,increasing
898,independence
899,independent
900,index
901,india
902,individual
903,indoor
904,industrial
905,industry
906,infant
907,infantry
908,infected
909,infection
910,infectious
911,influence
912,info
913,information
914,ingredient
915,initially
916,initiative
917,injury
918,inquiry
919,inside
920,instance
921,instead
922,institute
923,institution
924,intended
925,interactive
926,interest
927,interested
928,interface
929,internal
930,international
931,internet
932,interview
933,introduced
934,introduction
935,invasion
936,investigation
937,investment
938,involved
939,iraq
940,iraqi
941,ireland
942,isbn
943,island
944,issue
945,issued
946,italian
947,italy
948,item
949,james
950,january
951,japan
952,japanese
953,jb
954,jewish
955,job
956,john
957,johnson
958,join
959,joined
960,jones
961,journal
962,journalist
963,judge
964,juice
965,july
966,jump
967,june
968,jupiter
969,justice
970,keen
971,keep
972,kelly
973,ken
974,kennedy
975,kenteris
976,kept
977,key
978,killed
979,kind
980,king
981,kingdom
982,km
983,knew
984,know
985,knowledge
986,known
987,la
988,lab
989,laboratory
990,labour
991,lack
992,land
993,lander
994,landing
995,language
996,laptop
997,large
998,largely
999,larger
1000,largest
1001,laser
1002,last
1003,late
1004,later
1005,latest
1006,launch
1007,launched
1008,law
1009,lawsuit
1010,lawyer
1011,lay
1012,lead
1013,leader
1014,leadership
1015,leading
1016,learn
1017,learned
1018,least
1019,leave
1020,led
1021,left
1022,legal
1023,length
1024,less
1025,let
1026,letter
1027,level
1028,lib
1029,liberal
1030,library
1031,life
1032,lift
1033,light
1034,like
1035,likely
1036,limit
1037,limited
1038,line
1039,link
1040,liquid
1041,list
1042,little
1043,live
1044,living
1045,local
1046,located
1047,location
1048,log
1049,london
1050,long
1051,longer
1052,look
1053,looked
1054,looking
1055,lord
1056,los
1057,loss
1058,lost
1059,lot
1060,love
1061,low
1062,lower
1063,lse
1064,ludendorff
1065,lunar
1066,machine
1067,macintosh
1068,made
1069,madrid
1070,magazine
1071,magnesium
1072,mail
1073,main
1074,maintain
1075,maintained
1076,major
1077,majority
1078,make
1079,maker
1080,making
1081,malaria
1082,man
1083,managed
1084,management
1085,manager
1086,manchester
1087,manufacturer
1088,manufacturing
1089,many
1090,map
1091,mar
1092,marathon
1093,march
1094,mariner
1095,mark
1096,market
1097,marketing
1098,martin
1099,mary
1100,maryland
1101,mass
1102,massive
1103,match
1104,material
1105,matter
1106,may
1107,maybe
1108,mcilroy
1109,md
1110,mean
1111,meant
1112,meanwhile
1113,measure
1114,meat
1115,medal
1116,medical
1117,medicine
1118,medium
1119,meet
1120,meeting
1121,member
1122,memory
1123,men
1124,mercury
1125,message
1126,met
1127,method
1128,michael
1129,microsoft
1130,middle
1131,might
1132,mike
1133,mile
1134,military
1135,milk
1136,million
1137,mind
1138,mine
1139,minister
1140,minute
1141,missed
1142,missing
1143,mission
1144,mix
1145,mixture
1146,mobile
1147,mode
1148,model
1149,modern
1150,moment
1151,monday
1152,money
1153,monitor
1154,month
1155,moon
1156,mostly
1157,mother
1158,motor
1159,mouse
1160,move
1161,moved
1162,movement
1163,movie
1164,mp
1165,mr
1166,much
1167,multiple
1168,mummy
1169,murder
1170,museum
1171,music
1172,musical
1173,muslim
1174,must
1175,name
1176,named
1177,nasa
1178,nation
1179,national
1180,natural
1181,nature
1182,naval
1183,navy
1184,near
1185,nearly
1186,necessary
1187,need
1188,needed
1189,negative
1190,net
1191,network
1192,never
1193,new
1194,news
1195,newsletter
1196,newspaper
1197,next
1198,night
1199,nih
1200,nile
1201,nine
1202,nomination
1203,normal
1204,north
1205,northern
1206,norway
1207,note
1208,nothing
1209,november
1210,number
1211,object
1212,objective
1213,observation
1214,observatory
1215,observer
1216,occurred
1217,october
1218,offence
1219,offensive
1220,offer
1221,offered
1222,office
1223,officer
1224,official
1225,often
1226,oil
1227,old
1228,olympic
1229,olympics
1230,one
1231,onion
1232,online
1233,onto
1234,open
1235,opening
1236,operating
1237,operation
1238,operator
1239,opinion
1240,opportunity
1241,opposition
1242,option
1243,oral
1244,orbit
1245,orbital
1246,orbiter
1247,order
1248,ordered
1249,organisation
1250,organization
1251,original
1252,originally
1253,oscar
1254,others
1255,otherwise
1256,outbreak
1257,output
1258,outside
1259,oven
1260,overall
1261,pace
1262,pacific
1263,package
1264,page
1265,paid
1266,pair
1267,pan
1268,panel
1269,paper
1270,parent
1271,paris
1272,park
1273,parliament
1274,part
1275,particular
1276,particularly
1277,party
1278,passed
1279,past
1280,pat
1281,patch
1282,patient
1283,paul
1284,paula
1285,pay
1286,pc
1287,peace
1288,peel
1289,peer
1290,pension
1291,people
1292,pepper
1293,per
1294,percent
1295,performance
1296,perhaps
1297,period
1298,person
1299,personal
1300,peter
1301,pharaoh
1302,phil
1303,phone
1304,photo
1305,photoshop
1306,phthalates
1307,physical
1308,physician
1309,pick
1310,picture
1311,piece
1312,pioneer
1313,place
1314,placebo
1315,plan
1316,plane
1317,planet
1318,planetary
1319,planned
1320,plant
1321,platform
1322,play
1323,played
1324,player
1325,please
1326,plus
1327,pm
1328,point
1329,poland
1330,police
1331,policy
1332,polish
1333,political
1334,politician
1335,politics
1336,poll
1337,polygon
1338,poor
1339,popular
1340,population
1341,portion
1342,position
1343,positive
1344,possibility
1345,possible
1346,post
1347,posted
1348,poster
1349,posting
1350,postscript
1351,potato
1352,potential
1353,pound
1354,powder
1355,power
1356,powerful
1357,practice
1358,predicted
1359,prehistory
1360,prepared
1361,presence
1362,present
1363,presentation
1364,presented
1365,president
1366,press
1367,pressure
1368,pretty
1369,prevent
1370,prevention
1371,previous
1372,previously
1373,price
1374,primary
1375,prime
1376,principle
1377,prison
1378,private
1379,prize
1380,probably
1381,probe
1382,problem
1383,process
1384,processed
1385,processing
1386,produce
1387,produced
1388,producer
1389,product
1390,production
1391,professional
1392,professor
1393,profit
1394,program
1395,programme
1396,progress
1397,project
1398,promise
1399,promised
1400,proper
1401,property
1402,proposal
1403,proposed
1404,propulsion
1405,protect
1406,protection
1407,protein
1408,protest
1409,prove
1410,proved
1411,provide
1412,provided
1413,provider
1414,provides
1415,providing
1416,public
1417,publication
1418,published
1419,purpose
1420,push
1421,put
1422,pyramid
1423,quack
1424,quality
1425,quarter
1426,question
1427,questioned
1428,quickly
1429,quite
1430,race
1431,radcliffe
1432,radio
1433,raise
1434,raised
1435,ran
1436,range
1437,rapid
1438,rate
1439,rather
1440,ray
1441,reach
1442,reached
1443,reaction
1444,read
1445,reading
1446,ready
1447,real
1448,reality
1449,really
1450,reason
1451,recall
1452,receive
1453,received
1454,recent
1455,recently
1456,record
1457,recorded
1458,recovery
1459,red
1460,reduce
1461,reduced
1462,reducing
1463,reference
1464,reform
1465,refused
1466,region
1467,regular
1468,related
1469,relationship
1470,relay
1471,release
1472,released
1473,religion
1474,remain
1475,remained
1476,remaining
1477,remains
1478,remember
1479,remove
1480,replace
1481,replaced
1482,reply
1483,report
1484,reported
1485,republic
1486,require
1487,required
1488,requires
1489,research
1490,researcher
1491,reserve
1492,resistance
1493,resolution
1494,resource
1495,response
1496,responsibility
1497,responsible
1498,rest
1499,result
1500,resulting
1501,retreat
1502,return
1503,returned
1504,revealed
1505,revenue
1506,review
1507,revolution
1508,rich
1509,richard
1510,right
1511,ring
1512,rise
1513,rising
1514,risk
1515,rival
1516,river
1517,road
1518,robert
1519,rock
1520,rocket
1521,role
1522,roll
1523,roman
1524,rome
1525,ron
1526,room
1527,rose
1528,round
1529,route
1530,royal
1531,rule
1532,ruled
1533,ruler
1534,ruling
1535,run
1536,runner
1537,running
1538,russia
1539,russian
1540,safe
1541,safety
1542,said
1543,sale
1544,salt
1545,sample
1546,san
1547,satellite
1548,saturday
1549,saturn
1550,sauce
1551,save
1552,saving
1553,saw
1554,say
1555,saying
1556,scale
1557,scene
1558,schedule
1559,scheme
1560,scholar
1561,school
1562,science
1563,scientific
1564,scientist
1565,scotland
1566,scott
1567,scottish
1568,screen
1569,sea
1570,search
1571,season
1572,seat
1573,second
1574,secret
1575,secretary
1576,section
1577,sector
1578,secure
1579,security
1580,see
1581,seek
1582,seem
1583,seemed
1584,seems
1585,seen
1586,select
1587,selection
1588,sell
1589,send
1590,senior
1591,sense
1592,sensitive
1593,sent
1594,sentence
1595,separate
1596,september
1597,sequence
1598,serbia
1599,series
1600,serious
1601,serve
1602,served
1603,server
1604,service
1605,serving
1606,session
1607,set
1608,setting
1609,seven
1610,several
1611,sgi
1612,shadow
1613,shape
1614,share
1615,sheet
1616,ship
1617,short
1618,shot
1619,show
1620,showed
1621,showing
1622,shown
1623,shuttle
1624,side
1625,sign
1626,signal
1627,signed
1628,significant
1629,silicon
1630,silver
1631,similar
1632,simmer
1633,simon
1634,simple
1635,simply
1636,since
1637,singer
1638,single
1639,sir
1640,site
1641,situation
1642,six
1643,size
1644,skill
1645,skin
1646,sky
1647,slice
1648,sliced
1649,slightly
1650,slow
1651,small
1652,smaller
1653,smith
1654,smokeless
1655,smooth
1656,social
1657,society
1658,software
1659,soil
1660,solar
1661,sold
1662,soldier
1663,solid
1664,solution
1665,someone
1666,something
1667,sometimes
1668,sony
1669,soon
1670,sort
1671,sound
1672,soup
1673,source
1674,south
1675,southern
1676,soviet
1677,soy
1678,space
1679,spacecraft
1680,spanish
1681,speak
1682,speaker
1683,speaking
1684,special
1685,specific
1686,speech
1687,speed
1688,spend
1689,spending
1690,spent
1691,spokesman
1692,spokeswoman
1693,sport
1694,spot
1695,spread
1696,sprinter
1697,staff
1698,stage
1699,stand
1700,standard
1701,star
1702,starring
1703,start
1704,started
1705,state
1706,statement
1707,station
1708,statistic
1709,status
1710,stay
1711,steak
1712,step
1713,stephen
1714,steroid
1715,steve
1716,still
1717,stir
1718,stock
1719,stone
1720,stop
1721,store
1722,story
1723,straight
1724,strategy
1725,straw
1726,street
1727,strength
1728,strike
1729,strip
1730,strong
1731,structure
1732,student
1733,studio
1734,study
1735,stuff
1736,style
1737,subject
1738,submarine
1739,substance
1740,success
1741,successful
1742,suffered
1743,sugar
1744,suggest
1745,suggestion
1746,suggests
1747,suit
1748,suite
1749,summary
1750,summer
1751,sun
1752,sunday
1753,supplement
1754,supply
1755,support
1756,supporter
1757,sure
1758,surface
1759,surprise
1760,surprised
1761,surrounding
1762,survey
1763,suspect
1764,suspended
1765,sweden
1766,symptom
1767,system
1768,table
1769,tablespoon
1770,tactic
1771,take
1772,taken
1773,taking
1774,talk
1775,talking
1776,tank
1777,tape
1778,target
1779,task
1780,taste
1781,tax
1782,tb
1783,tea
1784,team
1785,teaspoon
1786,technical
1787,technique
1788,technology
1789,tel
1790,telephone
1791,telescope
1792,television
1793,tell
1794,temple
1795,term
1796,territory
1797,terror
1798,test
1799,tested
1800,testing
1801,text
1802,texture
1803,thank
1804,thanks
1805,thanou
1806,theatre
1807,theory
1808,therapy
1809,therefore
1810,thing
1811,think
1812,thinking
1813,third
1814,thomas
1815,though
1816,thought
1817,thousand
1818,threat
1819,three
1820,throughout
1821,thursday
1822,thus
1823,time
1824,titan
1825,title
1826,today
1827,together
1828,told
1829,tony
1830,took
1831,tool
1832,top
1833,topic
1834,torture
1835,tory
1836,total
1837,tour
1838,toward
1839,towards
1840,town
1841,track
1842,trade
1843,trading
1844,traditional
1845,training
1846,transmission
1847,transport
1848,treat
1849,treated
1850,treatment
1851,treaty
1852,trench
1853,trend
1854,trial
1855,tribunal
1856,tried
1857,triple
1858,troop
1859,true
1860,truth
1861,try
1862,trying
1863,tuesday
1864,turkey
1865,turn
1866,turned
1867,turning
1868,tv
1869,two
1870,type
1871,uk
1872,ukip
1873,understand
1874,understanding
1875,unemployment
1876,union
1877,unit
1878,united
1879,university
1880,unix
1881,unless
1882,unlikely
1883,unveiled
1884,update
1885,upon
1886,us
1887,use
1888,used
1889,useful
1890,user
1891,using
1892,usually
1893,vaccine
1894,valley
1895,value
1896,van
1897,variety
1898,various
1899,vast
1900,vegetable
1901,vehicle
1902,velocity
1903,venus
1904,verdun
1905,version
1906,via
1907,victim
1908,victor
1909,victory
1910,video
1911,view
1912,viewer
1913,village
1914,virtual
1915,virus
1916,visit
1917,visual
1918,visualization
1919,vital
1920,vitamin
1921,voice
1922,vol
1923,volume
1924,von
1925,vote
1926,voter
1927,voyager
1928,wale
1929,wall
1930,want
1931,wanted
1932,war
1933,warfare
1934,warned
1935,warning
1936,washington
1937,waste
1938,water
1939,way
1940,weak
1941,weather
1942,web
1943,website
1944,wednesday
1945,week
1946,weekend
1947,weight
1948,well
1949,went
1950,west
1951,western
1952,wheat
1953,whether
1954,white
1955,whole
1956,whose
1957,wide
1958,widely
1959,wider
1960,wife
1961,william
1962,willing
1963,wilson
1964,win
1965,window
1966,wing
1967,winner
1968,winning
1969,winter
1970,wireless
1971,wish
1972,within
1973,without
1974,woman
1975,word
1976,work
1977,worked
1978,worker
1979,working
1980,workstation
1981,world
1982,worldwide
1983,worry
1984,worth
1985,would
1986,write
1987,writer
1988,writes
1989,writing
1990,written
1991,wrong
1992,wrote
1993,xv
1994,year
1995,yeast
1996,yes
1997,yet
1998,york
1999,young
